bedroom,bathrooms,furnishing,avalable_for,floor_number,facing,floor_type,parking,aggDur,noticeDur,powerbackup,prUnfurnishedertyage,no_room,pooja_room,study_room,servant_room,store_room,deposit_amt,rent,area,loc,fur_cat,loc_cat,gc_ct,p_age
2,2,Unfurnished,All,5,West,Marble,0,11,2,2,5 to 10 Year Old,1,0,0,0,0,3,20000.0,1050.0, Pingale Wasti,2,643,1,3
2,2,Semifurnished,All,1,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,18500.0,567.0, Pingale Wasti,1,643,0,1
2,2,Unfurnished,All,5,East,Vitrified,2,11,1,2,1 to 5 Year Old,1,0,0,0,0,40000,14000.0,760.0, Wagholi,2,963,1,1
2,2,Semifurnished,All,2,West,Not provided,1,24,1,1,0 to 1 Year Old,1,0,0,0,0,63000,21000.0,1050.0, Wagholi,1,963,1,0
3,3,Semifurnished,All,1,South-West,Vitrified,1,11,1,2,1 to 5 Year Old,0,0,0,0,0,60000,22999.0,505.0, Mahalunge,1,455,1,1
2,2,Semifurnished,All,6,No Direction,Not provided,1,0,1,2,5 to 10 Year Old,1,0,0,0,0,25000,12000.0,900.0, Mahalunge,1,455,1,3
1,1,Furnished,Family Only,3,East,Mosaic,1,11,1,0,10+ Year Old,1,0,0,0,0,40000,13000.0,628.0, Wanowrie,0,972,1,2
3,3,Furnished,Family Only,1,East,Others,1,1,1,1,5 to 10 Year Old,1,0,0,0,0,3,24000.0,1100.0, Wanowrie,0,972,1,3
2,2,Semifurnished,"Family , Bachelors (Men Only)",6,South,Polished concrete,1,12,1,1,1 to 5 Year Old,1,0,0,0,0,20,7500.0,668.0, Uruli Devachi,1,910,1,1
1,1,Semifurnished,Family Only,4,East,Vitrified,1,36,1,1,5 to 10 Year Old,0,0,0,0,0,3,13500.0,605.0, Uruli Devachi,1,910,1,3
2,2,Semifurnished,Family Only,1,No Direction,Ceramic,1,11,1,2,1 to 5 Year Old,1,0,0,0,0,50000,17000.0,950.0, Baner,1,71,0,1
1,1,Unfurnished,All,1,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,20000,10000.0,743.0, Baner,2,71,0,3
